playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
belltr01,2011,1,LAA,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belowdu01,2011,1,DET,AL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beltbr01,2011,1,SFN,NL,63,187,21,42,6,1,9,18,3,2,20,57,1,2,0,0,3
beltrad01,2011,1,TEX,AL,124,487,82,144,33,0,32,105,1,1,25,53,0,5,0,8,13
beltrca01,2011,1,NYN,NL,98,353,61,102,30,2,15,66,3,0,60,61,6,2,0,4,9
beltrca01,2011,2,SFN,NL,44,167,17,54,9,4,7,18,1,2,11,27,1,1,0,0,9
benoijo01,2011,1,DET,AL,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bensojo01,2011,1,MIN,AL,21,71,3,17,6,1,0,2,2,2,3,21,0,0,0,0,1
bergebr02,2011,1,BAL,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bergju01,2011,1,CHN,NL,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
berkeja01,2011,1,BAL,AL,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkmla01,2011,1,SLN,NL,145,488,90,147,23,2,31,94,2,6,92,93,17,3,0,4,7
bernaro01,2011,1,WAS,NL,91,309,40,75,12,2,7,27,17,3,22,63,1,4,2,0,7
betande01,2011,1,NYA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betanra01,2011,1,COL,NL,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betanyu01,2011,1,MIL,NL,152,556,51,140,27,3,13,68,4,4,16,63,3,2,0,10,16
betemwi01,2011,1,KCA,AL,57,203,29,57,15,1,3,27,3,1,20,58,6,0,0,3,6
betemwi01,2011,2,DET,AL,40,120,11,35,7,3,5,19,1,0,11,47,0,0,0,2,1
billibr02,2011,1,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
billibr02,2011,2,OAK,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
